ID,DATE,YEAR,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
5663,31/10/2017,2017,-21.697,169.149,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.7,24,,,
5658,9/08/2017,2017,14.761,-94.103,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,8.2,46,Extreme (~$25 million or more),Very Many (~1001 or more houses),Some (~51 to 100 people)
5670,19/11/2017,2017,-21.325,168.672,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7,10,,,
5671,12/08/2017,2017,-30,-179,KERMADEC ISLANDS,"E Coast Australia, New Zealand, South Pacific Is.",Unknown,Probable Tsunami,,,,,
5723,19/11/2017,2017,-21.638,168.673,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.3,14,,,
5724,19/11/2017,2017,-21.503,168.598,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.6,13,,,
5672,1/10/2018,2018,17.474,-83.519,HONDURAS,Caribbean Sea,Earthquake,Definite Tsunami,7.5,10,Limited (<$1 million),,
5673,23/01/2018,2018,56.046,-149.073,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.9,25,Limited (<$1 million),,
5676,2/09/2018,2018,-3.608,144.588,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Definite Tsunami,,,,,
5675,14/01/2018,2018,-15.776,-74.744,PERU,West Coast of South America,Earthquake,Definite Tsunami,7.1,36,,,
5678,5/04/2018,2018,19.37,-155.032,USA,"Hawaii, Johnston Atoll, Midway I",Volcano and Earthquake,Definite Tsunami,6.9,5,Extreme (~$25 million or more),Many (~101 to 1000 houses),
